event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench
1,71,71,1216977.0,1217466.0,1216977,15.0,0,1000,0,0,1
2,75,146,3465390.0,3465761.0,1451656,40.0,0,1001,0,0,3
3,73,219,3293686.0,3293840.0,1588565,35.0,0,1004,2,0,8
4,34,253,9184672.0,9184781.0,3368949,95.0,0,1005,0,0,0
5,68,321,2207564.0,2207980.0,2694846,25.0,0,1007,0,0,1
6,47,368,5635455.0,5635666.0,3085557,55.0,13,1007,0,0,3
7,60,428,1316792.0,1317070.0,2082683,15.0,13,1013,0,0,1
8,32,460,6953120.0,6953249.0,2518989,70.0,9,1014,2,0,13
9,63,523,2727768.0,2728005.0,2244686,30.0,13,1016,2,0,3
10,56,579,831369.0,831502.0,1537285,10.0,18,1016,2,0,10
11,52,631,4265072.0,4265265.0,1652729,40.0,18,1021,0,0,7
12,76,707,478214.0,478299.0,956425,5.0,26,1022,2,0,0
13,64,771,4324065.0,4324174.0,1135267,45.0,26,1024,0,0,1
14,72,843,2003658.0,2003747.0,957803,20.0,4,1019,2,0,2
15,66,909,1546332.0,1546603.0,701648,15.0,4,1019,0,0,0
16,64,973,919323.0,919419.0,498526,10.0,5,1021,1,0,8
17,92,1065,731231.0,731326.0,340796,10.0,3,1018,2,0,22
18,77,1142,270871.0,270896.0,219920,5.0,3,1023,0,0,5
19,70,1212,4778201.0,4778429.0,290001,45.0,2,1025,1,0,7
20,63,1275,4695353.0,4695526.0,327517,45.0,1,1028,2,0,3
21,62,1337,3850484.0,3850681.0,395466,35.0,1,1031,0,0,4
22,46,1383,5101490.0,5101932.0,413042,50.0,1,1032,0,0,1
23,72,1455,1508101.0,1508323.0,325356,15.0,0,1032,1,0,13
24,132,1587,1075302.0,1075433.0,251840,10.0,7,1032,2,0,5
25,110,1697,313718.0,313817.0,159477,5.0,10,1028,2,0,3
26,80,1777,2279095.0,2279350.0,170196,25.0,18,1029,1,0,2
27,58,1835,3622005.0,3622295.0,167875,35.0,18,1028,0,0,14
28,56,1891,5181285.0,5181811.0,187787,50.0,18,1031,0,0,3
29,48,1935,3502044.0,3502101.0,223788,35.0,31,1022,4,4,0
30,59,1994,1231725.0,1231834.0,182991,15.0,84,1026,1,0,2
31,39,2033,3500452.0,3500577.0,221705,35.0,0,1020,0,0,12
32,70,2103,2714507.0,2714631.0,266522,25.0,0,1023,0,0,14
33,66,2169,3230860.0,3230986.0,285324,30.0,16,1028,2,0,0
34,0,2169,,,285324,,16,1030,0,0,0
